Word,Definition,Other Meanings,Nominative,Dative,Accusative,Present,Imperfect,Perfect,Other Information
Pessimus,Worst,Very bad,,,,,,,
Cupio,Desire,Want,,,,"I = cupio , you(singular) = cupis , he/she = cupit , we = cupimus , you(plural) = cupitis , they = cupiunt","I = cupiebam , you(singular) = cupiebas , he/she = cupiebat , we = cupiebamus , you(plural) = cupiebatis , they = cupiebant","I = cupivi , you(singular) = cupivisti , he/she = cupivit , we = cupivimus , you(plural) = cupivistis , they = cupiverunt",
Celeriter,Quickly,,,,,,,,
Do,Give,,,,,"I = do , you(singular) = das , he/she = dat , we = damus , you(plural) = datis , they = dant","I = dabam , you(singular) = dabas",,
Iterum,Again,,,,,,,,
Pulcher,Beautiful,Handsome,,,,,,,
Dies,Day,,dies(singular) / dies(plural),dii(singular) / diibus(plural),diem(singular) / dies(plural),,,,
Fero,Bring,Carry,,,,"I = fero , you(singular) = fers , he/she = fert , we = ferimus , you(plural) = fertis, they = ferunt","I = ferebam , you(singular) = ferebas , he/she = ferebat , we = ferebamus , you(plural) = ferebatis , they = ferebant","I = tuli , you(singular) = tulisti , he/she = tulit , we = tulimus , you(plural) = tulistis , they = tulerunt",
Homo,Human,Person / Man,homo(singular) / homines(plural),ominem(singular) / homines(plural),,,,,
Maneo,Remain,Stay,,,,"I = maneo , you(singular) = manes , he/she = manet , we = manemus , you(plural) = manetis , they = manent","I = manebam , you(singular) = manebas , he/she = manebat , we = manebamus , you(singular) = manebatis , they = manebant","I = mansi , you(singular) = mansisti , he/she = mansit , we = mansimus , you(plural) = mansistis , they = manserunt",
Medius,Middle,,,,,,,,
Mox,Soon,,,,,,,,
Ostendo,Show,,,,,"I = ostendo , you(singular) = ostendis , he/she = ostendit , we = ostendimus , you(plural) = ostenditis , they = ostendunt","I = ostendebam , you(singular) = ostendebas , he/she = ostendebat , we = ostendebamus , you(plural) = ostendebatis . they = ostendebant","I = ostendi , you(singular) = ostendisti , he/she = ostendit , we = ostendimus , you(plural) = ostendistis , they = ostenderunt",
Trado,Hand over,,,,,"I = trado , you(singular) = tradis , he/she = tradit , we = tradimus , you(plural) = traditis , they = tradunt","I = tradebam , you(singular) = tradebas , he/she = tradebat , we = tradebamus , you(plural) = tradebatis , they = tradebant","I = tradidi , you(singular) = tradidisti , he/she = tradidit , we = tradidimus , you(plural) = tradidistis , they = tradiderunt",
Nomen,Name,,,,,,,,
Accipio,Recieve,Accept,,,,"I = accipio , you(singular) = accipis , he/she = accipit , we = accipimus , you(plural) = accipitis , they = accipiunt","I = accipiebam , you(singular) = acciebas , he/she = accipiebat , we = accipiebamus , you(plural) = accipiebatis , they = accipiebant","I = accepi , you(singular) = accepisti , he/she = accepit , we = accepimus , you(plural) = accepistis , they = acceperunt",
Frater,Brother,,frater(singular) / fratres(plural),fratri(singular) / fratribus(plural),fratrem(singular) / fratres,,,,
Soror,Sister,,soror(singular) / sorores(plural),sorori(singular) / sororibus(plural),sororem(singular) / sorores(plural),,,,
Invenio,Find,,,,,I = invenio,,"I = inveni , you(singular) = invenisti , he/she = invenit , we = invenimus , you(plural) = invenistis , they = invenerunt",
Pax,Peace,,pax(singular) / paces(plural),paci(singular) / pacibus(plural),pacem(singular) / paces(plural),,,,
Bellum,War,,,,,,,,
Nos,We(plural),Us,,,,,,,
Quam,Than,How,,,,,,,
Semper,Always,,,,,,,,
Taceo,Silent,Quiet,,,,"I = taceo , you(singular) = taces , he/she = tacet , we = tacemus , you(plural) = tacetis , they = tacent","I = tacebam , you(singular) = tacebas , he/she = tacebat , we = tacebamsus , you(plural) = tacebatis , they = tacebant"," = tacui , you(singular) = tacuisti , he/she = tacuit , we = tacuimus , you(plural) = tacuistis , they - tacuerunt",Tace = Shut up
Vos,You(plural),,,,,,,,
Stultus,Foolish,Stupid,,,,,,,
Callidus,Clever,Cunning,,,,,,,
Uxor,Wife,,uxor(singular) / uxores(plural),uxori(singular) / uxoribus(plural),uxorem(singular) / uxores(plural),,,,
Suus,His,Hers / Its / Their,,,,,,,
Solus,Alone,Only / Lonely,,,,,,,
Nuntio,Announce,,,,," I = nuntio , you(singular) = nuntias , he/she = nuntiat , we = nuntiamus , you(plural) = nuntiatis , they = nuntiant","I = nuntiabam , you(singular) = nuntiabas , he/she = nuntiabat , we = nuntiabamus , you(plural) = nuntiabatis , they = nuntiabant","I = nuntiavi , you(singular) = nuntiavisti , he/she = nuntiavit , we = nuntiavimus , you(plural) = nuntiavistis , they = nuntiaverunt",
Magister,Teacher,Master,,,,,,,
Discipulus,Student,,,,,,,,
Doceo,Teach,,,,,"I = doceo , you(singular) = doces , he/she = docet , we = docemus , you(plural) = docetis , they = docent","I = docebam , you(singular) = docebas , he/she = docebat , we = docebamus , you(plural) = docebatis , they = docebant","I = docui , you(singular) = docuisti , he/she = docuit , we = docuimus , you(plural) = docuistis , they = docuerunt",
Num,Surely not,,,,,,,,
Subito,Suddenly,,,,,,,,
Gratias,Thank,,gratiae(plural),gratiis(plural),Gratias(plural),,,,
Quaeso,Please,,,,,,,,
Capio,Take,Capture,,,,"I = capio , you(singular) = capis , he/she = capit , we = capimus , you(plural) = capitis , they = capiunt","I = capiebam , you(singular) = capiebas , he/she = capiebat , we = capiebamus , you(plural) = capiebatis , they = capiebant","I = cepi , you(singular) = cepisti , he/she = cepit , we = cepimus , you(plural) = cepistis , they = ceperunt",
Nunc,Now,,,,,,,,
Tum,Then,,,,,,,,
Mihi,To me,For me,,,,,,,Nobis(plural) = for us/to us
Tibi,To you,,,,,,,,vobis(plural) = for you
Credo,Believe,Trusts / Faith,,,,"I = credo , you(singular) = credis , he/she = credit , we = credimus , you(plural) = creditis , they = credunt","I = credebam , you(singular) = credebas , he/she = credebat , we = credebamus , you(plural) = credebatis , they = credebant","I = credidi , you(singular) = credidisti , he/she = credidit , we = credidimus , you(plural) = credidimus , they = crediderunt",
De,From,About,,,,,,,
Noster,Our,,,,,,,,
Placet,Pleases,Likes / Suit,,,,"I = placeo , you(singular) = places , he/she = placet , we = placemus , you(plural) = placetis , they = placent","I = placebam , you(singular) = placebas , he/she = placebat , we = placebamus , you(plural) = placebatis , they = placebant","I = placui , you(singular) = placuisti , he/she = placuit , we = placuimus , you(plural) = placuistis , they = placuerunt",
Civis,Citizen,,civis(singular) / cives(plural),civi(singular) / civibus(plural),civem(singular) / cives(plural),,,,
Lego,Read,,,,," I = lego , you(singular) = legis , he/she = legit , we = legimus , you(plural) = legitis , they = legunt","I = legebam , you(singular) = legebas , he/she = legebat , we = legebamus , you(plural) = legebatis , they = legebant","I = legi , you(singular) = legisti , he/she = legit , we = legimus , you(plural) = legistis , they = legerunt",
Iam,Now,Already,,,,,,,
Terra,Land,Earth / Ground,terra(singular) / terrae(plural),terrae(singular) / terris(plural),terram(singular) / terras(plural),,,,
Custodio,Guard,,,,,"I = custodio , you(singular) = custodis , he/she = custodit , we = custodimus , you(plural) = custoditis , they = custodiunt","I = custodiebam , you(singular) = custodiebas , he/she = custodiebat , we = custodiebamus , you(plural) = custodiebatis , they = custodiebant","I = custodivi , you(singular) = custodivisti , he/she = custodivit , we = custodivimus , you(plural) = custodivistis , they = custodiverunt",Custodio is like multiple guards while Custos = One guard
Fortiter,Bravely,Strongly,"","","","","","",""
Fugio,Flee,Run away,"","","","I = fugio , you(singular) = fugis , he/she = fugit , we = fugimus , you(plural) = fugitis, they = fugiunt","I = fugiebam , you(singular) = fugiebas , he/she = fugiebat , we = fugiebamus , you(plural) = fugiebatis , they = fugiebant","I = fugi , you(singular) = fugisti , he/she = fugit , we = fugimus , you(plural) = fugistis , they = fugerunt",""
